"dfDims","dfDimScores","sampleScore.wmxn","sampleScore.uni"
"num_team_year",0.977313009571074,0.108826657213754,0.0443708905488214
"num_commits_year",0.880538816022687,0.108826657213754,0.0443708905488214
"forks",0.979085430698334,0.108826657213754,0.0443708905488214
"watchers",0.944345976604041,0.108826657213754,0.0443708905488214
"language",0.718539524991138,0.108826657213754,0.0443708905488214
"project_age",0.634881247784474,0.108826657213754,0.0443708905488214
