"dimNam","dimVal","sampleScore"
"num_team_year",1,0.878874625396967
"num_commits_year",1,0.878874625396967
"forks",1,0.878874625396967
"watchers",1,0.878874625396967
"language",0.997718835264123,0.878874625396967
"project_age",1,0.878874625396967
